,rawcomment,sentiment_predictions,sarcasm_predictions
0,wow she remained beautiful even in 2023,2,0
1,Ugh it's 2023 and I'm still inlove with Justin,1,0
2,"Jb is a legend, really !!!",2,1
3,It's 2023 but the song is  rocking,1,0
4,Super,2,1
5,875 GOD 😱😱😱,1,1
6,874 GOD 💖💖💖,1,1
7,873 GOD 🎈🎈🎈,1,1
8,872 GOD 🙏🙏🙏,1,1
9,871 GOD 😊😊😊,1,1
10,870 GOD ❤️❤️❤️,1,1
11,869 GOD 🤍🤍🤍,1,1
12,868 GOD 🎉🎉🎉,1,1
13,867 GOD 😃😃😃,1,1
14,866 GOD 💕💕💕,1,1
15,865 GOD 🥰🥰🥰,1,1
16,864 GOD 💞💞💞,1,1
17,863 GOD 🤑🤑🤑,1,1
18,862 GOD 💛💛💛,1,1
19,861 GOD 👻👻👻,1,1
20,860 GOD 🖤🖤🖤,1,1
21,859 GOD 💚💚💚,1,1
22,858 GOD 🌷🌷🌷,1,1
23,857 GOD 💗💗💗,1,1
24,856 GOD 💘💘💘,1,1
25,855 GOD 💝💝💝,1,1
26,854 GOD 🐰🐰🐰,1,1
27,853 GOD 💙💙💙,1,1
28,"It has been almost 13 years and when I first watched it, i was 13... December 2013 on dish cable. Feni, Bangladesh.",2,0
29,852 GOD 👑👑👑,1,1
30,851 GOD 💓💓💓,1,1
31,850 GOD 🌹🌹🌹,1,1
32,849 GOD 🤩🤩🤩,1,1
33,848 GOD 🐇🐇🐇,1,1
34,847 GOD ❣️❣️❣️,1,1
35,846 GOD 😍😍😍,1,1
36,845 GOD 🤣🤣🤣,1,1
37,23M likes 😯🤗,1,0
38,Who is here in 2023👀😂,1,0
39,Indonesia hadlir 🖒🖒🖒,1,0
40,Just spotted drake,1,1
41,"N5is👔🎩👓👖🌹,,,",1,0
42,Memories 😍☺️,1,0
43,Such a talent🙀👌👌👌👌💯💯💯💯💯💯💯💗💗💖💖❤️‍🔥❤️‍🔥❤️‍🔥💕💕❣️❣️❣️,1,0
44,Such a talent💯💯💯💯💯💯💯💯💕💕💕💕💕💕💕💕💕💕💕💕💕💕,1,0
45,Advance congratulations for 3b,1,0
46,Why is drake hanging out with teenagers?🤣🤣,1,1
47,WELCOME TO THE THE MOST DISLIKE YOUTUBE VIDEO IN THE WORLD,2,0
48,Buenos tiempos,1,0
49,Who else noticed drake?,1,1
50,2023 n still we gonna mad on this song ♥️✨,0,0
51,Certifed Hood Classic,2,0
52,Wow😱😘,1,0
53,6th'Feb-2023...still a hit 🔥,1,0
54,So many views! He sounds so nice,2,0
55,,1,0
56,2023🤗,1,0
57,🤩😘,1,0
58,I'm from India but this song is very famous in India.,2,1
59,Overhated fr,1,0
60,Nibba nd Nibbi,1,1
61,What A Voice ❤️💯,1,0
62,"Childhood memories 
He owned the world that time",1,0
63,"Lovely"" is a song by Canadian singer Justin Bieber, featuring American singer-songwriter Billie Eilish. It was released as a single in 2018 and received positive feedback from audiences and critics alike for its mellow and intimate sound, as well as for the strong vocal performances by both Bieber and Eilish. The song has been praised for its simple yet effective production and lyrics, and for the way it showcases the emotions and feelings of love and affection. It has become a fan favorite and continues to be widely streamed and played on various music platforms.",2,1
64,I love this song,2,0
65,"She's like: OkAy... After you chased me around the building and shoved your face into my face a couple times, I'll give in.",2,0
66,About to be 13 years,1,0
67,หนู  จะ ถาม  น้ะ    ดัชชี่  บอย  กับ  ดัชชี่ เกิ้ล  มา จาก ไหน,1,0
68,บอยแบรน  ที่  เป็น  ไป ตาม  ครรลองครองธรรม   ต้อง สมบูรณ์   แบบเช่น นี้  👆👆👆👆👆,1,0
69,Ohio rizz 😬 💀💀💀,1,0
70,i just noticed drake is in this at 1:14,1,0
71,I am Japanese. I love this song❤❤,2,0
72,☺😊😊😊,1,0
73,is DRIZZY DRAKE in his group?,1,0
74,Ooohhh ahhhh ❤️,1,0
75,"muito podem duvidar, mas essa é a música que um real mano escuta",2,1
76,Cool,2,0
77,2023 anyone.........?,1,0
78,It’s hard to like Justin Bieber because most of his Friends are girls but I am a boy and I love Justin Bieber comment down below if you are also a boy and you love Justin,2,1
79,This whole song is just like a fifteen-year-old kid harassing a girl,2,1
80,Realy nice song😍😍# ff #jastin,2,0
81,2023 i'm here,1,0
82,Weak at m sb bwnh n. Caffeine ♥ ♥ ♥ ♥ ♥ caffeine ♥,0,0
83,Torture 😂,1,1
84,Bro this is torture,1,1
85,What's Drake Doing?,1,1
86,"listening this since i was 7... now i'm 20... heir of jackson throne much love from istanbul, turkey! BieberFever, OnceABelieberAlwaysABelieber hahaha :)",2,0
87,"Oh ,really it is the most energetic mind-blowing superior best song in the world",2,1
88,844 GOD 😜😜😜,1,1
89,843 GOD 🥀🥀🥀,1,1
90,842 GOD 🤪🤪🤪,1,1
91,841 GOD 😀😀😀,1,1
92,840 GOD 😱😱😱,1,1
93,839 GOD 💖💖💖,1,1
94,838 GOD 🎈🎈🎈,1,1
95,837 GOD 🙏🙏🙏,1,1
96,836 GOD 😊😊😊,1,1
97,835 GOD ❤️❤️❤️,1,1
98,834 GOD 🤍🤍🤍,1,1
99,833 GOD 🎉🎉🎉,1,1
100,832 GOD 😃😃😃,1,1
101,831 GOD 💕💕💕,1,1
102,830 GOD 🥰🥰🥰,1,1
103,829 GOD 💞💞💞,1,1
104,828 GOD 🤑🤑🤑,1,1
105,827 GOD 💛💛💛,1,1
106,826 GOD 👻👻👻,1,1
107,825 GOD 🖤🖤🖤,1,1
108,824 GOD 💚💚💚,1,1
109,823 GOD 🌷🌷🌷,1,1
110,822 GOD 💗💗💗,1,1
111,821 GOD 💘💘💘,1,1
112,6/1/2023 once again,1,0
113,820 GOD 💝💝💝,1,1
114,819 GOD 🐰🐰🐰,1,1
115,818 GOD 💙💙💙,1,1
116,817 GOD 👑👑👑,1,1
117,816 GOD 🌹🌹🌹,1,1
118,815 GOD 🤩🤩🤩,1,1
119,814 GOD 🐇🐇🐇,1,1
120,813 GOD ❣️❣️❣️,1,1
121,812 GOD 😍😍😍,1,1
122,811 GOD ♥️♥️♥️,1,1
123,810 GOD 🤣🤣🤣,1,1
124,809 GOD 😜😜😜,1,1
125,808 GOD 🥀🥀🥀,1,1
